SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
04/01/2022 08:44:13AM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
252,6,1141456,3/23/2022,12:14:42PM,49082,WIX49082,$12.36 ,1,$12.21 ,$12.21 ,($0.15),WIX,A
3692-1,47,1141894,3/25/2022,11:28:01AM,ES2,GTAES2,$4.25 ,-2,$6.96 ,($13.92),($5.42),GTA,A
3692-1,47,1141894,3/25/2022,11:28:01AM,MR4719EH23S,MERMR4719EH23S,$16.53 ,-4,$24.00 ,($96.00),($29.88),MER,A
D8255-1,127,625764,3/31/2022,08:27:41AM,R202002,MERR202002,$276.54 ,-1,$330.00 ,($330.00),($53.46),MER,A
D4291,47,1140473,3/17/2022,09:39:46AM,E-A538BP,EUCE-A538BP,$18.77 ,-1,$31.82 ,($31.82),($13.05),EUC,A
9000,85,1142167,3/28/2022,10:34:32AM,89111,DCO89111,$0.00 ,1,$48.24 ,$48.24 ,$48.24 ,DCO,AP
9000,85,1142167,3/28/2022,10:34:32AM,89106,DCO89106,$2.71 ,1,$40.68 ,$40.68 ,$37.97 ,DCO,AP
D4291,47,1140473,3/17/2022,09:39:46AM,MAF-108391-8,MERMAF-108391-81,$502.96 ,-1,$628.70 ,($628.70),($125.74),MER,A
7985,16,1138307,3/4/2022,12:28:35PM,631282,EXC631282,$20.43 ,2,$26.43 ,$52.86 ,$12.00 ,EXC,AP
7985,16,1138307,3/4/2022,12:28:35PM,640015-019,EXC640015-019,$77.23 ,4,$102.93 ,$411.72 ,$102.80 ,EXC,AP
7985,16,1138307,3/4/2022,12:28:35PM,631250OEM,EXC631250OEM,$235.95 ,0,$283.14 ,,,EXC,AP
1401-1,46,1142301,3/29/2022,,4073,FJC4073,$0.70 ,,$1.47 ,,,FJC,AP
515,54,1139288,3/10/2022,09:28:47AM,16112,VEL016112,$1.72 ,1,$2.83 ,$2.83 ,$1.11 ,VEL,A
515,54,1139288,3/10/2022,09:28:47AM,E-8979-R,EUCE-8979-R,$2.08 ,4,$3.58 ,$14.32 ,$6.00 ,EUC,A
515,54,1139288,3/10/2022,09:28:47AM,16244,VEL016244,$1.82 ,2,$2.85 ,$5.70 ,$2.06 ,VEL,A
515,54,1139288,3/10/2022,09:28:47AM,16144,VEL016144,$1.50 ,3,$2.43 ,$7.29 ,$2.79 ,VEL,A
515,54,1139288,3/10/2022,09:28:47AM,16264,VEL016264,$2.91 ,2,$4.47 ,$8.94 ,$3.12 ,VEL,A
515,54,1139288,3/10/2022,09:28:47AM,LL-245LW-A,QEPLL-245LW-A,$80.50 ,2,$102.82 ,$205.64 ,$44.64 ,QEP,A
D711,95,622312,3/1/2022,09:43:17AM,P27-1153-100,SPOP27-1153-100,$33.74 ,1,$55.00 ,$55.00 ,$21.26 ,SPO,APQT
D6710,69,624954,3/24/2022,,G94911-0606,GATG94911-0606,$18.20 ,4,$25.84 ,$103.36 ,$30.56 ,GAT,A
