SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
03/01/2022 12:01:25PM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
D3090,97,619647,2/8/2022,04:09:46PM,E-B201,EUCE-B201,$19.53 ,1,$27.74 ,$27.74 ,$8.21 ,EUC,A
D3090,97,619647,2/8/2022,04:09:46PM,60401-0006,AGA60401-0006,$0.48 ,3,$1.84 ,$5.52 ,$4.08 ,AGA,A
D3090,97,619647,2/8/2022,04:09:46PM,33651MP,WIX33651MP,$8.35 ,2,$13.82 ,$27.64 ,$10.94 ,WIX,A
D3090,97,619647,2/8/2022,04:09:46PM,40282R3,TLC40282R3,$2.40 ,2,$4.36 ,$8.72 ,$3.92 ,TLC,A
D3090,97,619647,2/8/2022,04:09:46PM,60401-0008,AGA60401-0008,$0.99 ,3,$2.34 ,$7.02 ,$4.05 ,AGA,A
D3090,97,619647,2/8/2022,04:09:46PM,EBG-8639,PAIEBG-8639,$5.19 ,1,$8.98 ,$8.98 ,$3.79 ,PAI,A
D3333,95,619327,2/7/2022,12:51:48PM,10003,LUC10003,$6.06 ,1,$5.62 ,$5.62 ,($0.44),LUC,AP
4262-1,54,1133838,2/4/2022,,M20332Y,MAXM20332Y,$6.50 ,6,$9.10 ,$54.60 ,$15.60 ,MAX,A
1309-1,16,619306,2/5/2022,,33607,WIX33607,$25.25 ,,$29.96 ,,,WIX,A
1309-1,16,619306,2/5/2022,,33674MP,WIX33674MP,$11.69 ,1,$13.01 ,$13.01 ,$1.32 ,WIX,A
D0515,16,620036,2/11/2022,03:35:15PM,S49-424,GRKS49-424,$19.02 ,1,$38.92 ,$38.92 ,$19.90 ,GRK,A
D0515,16,620036,2/11/2022,03:35:15PM,L490-1212A,GRKL490-1212A,$23.15 ,1,$38.68 ,$38.68 ,$15.53 ,GRK,A
D0515,16,620036,2/11/2022,03:35:15PM,170N7018X,MER170N7018X,$19.38 ,1,$25.51 ,$25.51 ,$6.13 ,MER,AP
D0515,16,620036,2/11/2022,03:35:15PM,EZ-4SS,GRKEZ-4SS,$6.86 ,5,$10.97 ,$54.85 ,$20.55 ,GRK,AP
D0515,16,620036,2/11/2022,03:35:15PM,L490-1212SA,GRKL490-1212SA,$22.92 ,1,$39.62 ,$39.62 ,$16.70 ,GRK,A
D0515,16,620036,2/11/2022,03:35:15PM,M-079,GRKM-079,$184.61 ,1,$300.00 ,$300.00 ,$115.39 ,GRK,APQT
D0515,16,620036,2/11/2022,03:35:15PM,RMH-10,GRKRMH-10,$14.57 ,2,$22.58 ,$45.16 ,$16.02 ,GRK,AP
D0515,16,620036,2/11/2022,03:35:15PM,L490-1010A,GRKL490-1010A,$21.29 ,1,$38.68 ,$38.68 ,$17.39 ,GRK,A
3634,123,621689,2/25/2022,08:37:36AM,51792MP,WIX51792MP,$14.38 ,1,$23.54 ,$23.54 ,$9.16 ,WIX,A
5860,74,1135738,2/17/2022,11:01:46AM,577.46604,ATM577.46604,$4.48 ,1,$6.85 ,$6.85 ,$2.37 ,ATM,AP
5860,74,1135738,2/17/2022,11:01:46AM,S-20677,SASS-20677,$5.87 ,1,$9.17 ,$9.17 ,$3.30 ,SAS,AP
9741-1,6,1133713,2/4/2022,01:02:43PM,WA10808,WIXWA10808,$33.51 ,1,$41.42 ,$41.42 ,$7.91 ,WIX,A
D3533-1,16,621602,2/24/2022,12:30:06PM,AX44,GATAX44,$6.27 ,1,$11.62 ,$11.62 ,$5.35 ,GAT,A
2892-1,64,1133909,2/5/2022,11:33:44AM,10028,LUC10028,$389.24 ,1,$486.55 ,$486.55 ,$97.31 ,LUC,A
9695-1,6,1136992,2/24/2022,03:26:04PM,1291212C,DXN1291212C,$9.51 ,0,$16.41 ,,,DXN,AP
9695-1,6,1136992,2/24/2022,03:26:04PM,1291208C,DXN1291208C,$6.72 ,6,$11.84 ,$71.04 ,$30.72 ,DXN,AP
4168,6,1133513,2/3/2022,08:59:28AM,WI1516,WIXWI1516,$5.95 ,1,$11.30 ,$11.30 ,$5.35 ,WIX,A
4168,6,1133513,2/3/2022,08:59:28AM,90-01-4512N,WIL90-01-4512N,$255.37 ,1,$357.52 ,$357.52 ,$102.15 ,WIL,AP
4168,6,1133513,2/3/2022,08:59:28AM,E-B201,EUCE-B201,$19.51 ,1,$27.74 ,$27.74 ,$8.23 ,EUC,A
5596,6,1133877,2/5/2022,04:45:49PM,5805D,TAC5805D,$201.73 ,1,$265.00 ,$265.00 ,$63.27 ,TAC,AFP
