SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
05/01/2022 02:54:13PM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
D6388,95,626590,4/7/2022,09:21:53AM,DEXQ,LCSDEXQ,$2.44 ,4,$6.09 ,$24.36 ,$14.60 ,LCS,AP
5866,85,1145776,4/19/2022,10:01:29AM,WF10456,WIXWF10456,$18.17 ,5,$19.40 ,$97.00 ,$6.15 ,WIX,A
3707,74,1146466,4/23/2022,08:22:35AM,R955289714N,MERR955289714N,$22.89 ,1,$36.62 ,$36.62 ,$13.73 ,MER,AP
4850,88,1147105,4/27/2022,01:16:50PM,MRK4702QH20S,MERMRK4702QH20S,$29.38 ,2,$47.30 ,$94.60 ,$35.84 ,MER,AE
4850,88,1147105,4/27/2022,01:16:50PM,950011K,MID950011K,$13.98 ,1,$29.34 ,$29.34 ,$15.36 ,MID,A
4850,88,1147105,4/27/2022,01:16:50PM,MRK4710QH23S,MERMRK4710QH23S,$51.33 ,2,$77.91 ,$155.82 ,$53.16 ,MER,AEP
D1949,123,626141,4/4/2022,10:28:54AM,370025A,FMC370025A,$18.46 ,2,$25.04 ,$50.08 ,$13.16 ,FMC,A
D1949,123,626141,4/4/2022,10:28:54AM,370003A,FMC370003A,$25.23 ,4,$34.22 ,$136.88 ,$35.96 ,FMC,A
D1949,123,626141,4/4/2022,10:28:54AM,370001A,FMC370001A,$19.49 ,2,$26.44 ,$52.88 ,$13.90 ,FMC,A
D4841,123,625988,4/1/2022,08:31:42AM,22400,VEL022400,$6.23 ,2,$11.92 ,$23.84 ,$11.38 ,VEL,A
D4841,123,625988,4/1/2022,08:31:42AM,E-UB5161-12,EUCE-UB5161-12,$8.88 ,2,$12.09 ,$24.18 ,$6.42 ,EUC,AP
D4841,123,625988,4/1/2022,08:31:42AM,60301-2012,AGA60301-2012,$6.86 ,1,$16.96 ,$16.96 ,$10.10 ,AGA,A
1197-1,101,1147474,4/29/2022,04:28:38PM,ED3802AW,ECCED3802AW,$64.25 ,3,$101.83 ,$305.49 ,$112.74 ,ECC,AP
D4841,123,625988,4/1/2022,08:31:42AM,22424,VEL022424,$4.75 ,2,$10.12 ,$20.24 ,$10.74 ,VEL,A
2192,15,1144945,4/14/2022,09:37:02AM,SYN75140P,LCSSYN75140P,$108.79 ,2,$165.32 ,$330.64 ,$113.06 ,LCS,AP
2192,15,1144945,4/14/2022,09:37:02AM,8880,MMM8880,$3.25 ,2,$4.55 ,$9.10 ,$2.60 ,MMM,AP
2192,15,1144945,4/14/2022,09:37:02AM,10013,LUC10013,$18.03 ,1,$24.38 ,$24.38 ,$6.35 ,LUC,AP
2192,15,1144945,4/14/2022,09:37:02AM,113605,RAI113605,$2.47 ,1,$3.50 ,$3.50 ,$1.03 ,RAI,AP
2192,15,1144945,4/14/2022,09:37:02AM,87101,GRC87101,$50.38 ,1,$76.44 ,$76.44 ,$26.06 ,GRC,AP
2192,15,1144945,4/14/2022,09:37:02AM,1157,WAG1157,$0.16 ,10,$0.50 ,$5.00 ,$3.40 ,WAG,AP
578,64,1144568,4/12/2022,10:31:52AM,8581-01,KTM8581-01,$63.15 ,1,$89.30 ,$89.30 ,$26.15 ,KTM,AP
D3410,87,629044,4/27/2022,01:17:30PM,WL10061,WIXWL10061,$13.92 ,2,$18.39 ,$36.78 ,$8.94 ,WIX,A
